GeotabId;Name;URL
b27A0;Livianos;https://raw.githubusercontent.com/jmcesetti/PBI_host/refs/heads/main/TSB_PBI/car-profile.svg
b27A1;Pesados;https://raw.githubusercontent.com/jmcesetti/PBI_host/refs/heads/main/TSB_PBI/truck.svg
b27FA;Personal;https://raw.githubusercontent.com/jmcesetti/PBI_host/refs/heads/main/TSB_PBI/van.svg
nnnnn;Desconocidos;https://raw.githubusercontent.com/jmcesetti/PBI_host/refs/heads/main/TSB_PBI/exclamation-mark.svg
